Snapshot Date,Checkin Date,Discount Code,DayDiff,WeekDay,Hotel_Encoded_Name
38,67,2,30,3,285
38,67,1,30,3,286
38,67,2,30,3,290
38,67,1,30,3,301
38,67,3,30,3,323
38,67,1,30,3,327
38,67,2,30,3,334
38,67,1,30,3,370
38,67,2,30,3,472
38,67,3,30,3,525
38,67,1,30,3,538
38,68,2,31,4,47
38,68,3,31,4,85
38,68,4,31,4,178
38,68,3,31,4,189
38,68,4,31,4,194
38,68,2,31,4,285
38,68,2,31,4,290
38,68,3,31,4,301
38,68,2,31,4,323
38,68,4,31,4,327
38,68,2,31,4,363
38,68,3,31,4,525
38,69,2,32,5,34
38,69,2,32,5,175
38,69,3,32,5,186
38,69,2,32,5,189
38,69,2,32,5,191
38,69,4,32,5,198
38,69,2,32,5,260
38,69,4,32,5,286
38,69,2,32,5,301
38,69,3,32,5,327
38,69,2,32,5,361
38,69,1,32,5,363
38,69,2,32,5,420
38,69,3,32,5,472
38,69,1,32,5,492
38,69,2,32,5,525
38,69,2,32,5,548
38,70,2,33,6,79
38,70,2,33,6,102
38,70,2,33,6,124
38,70,1,33,6,175
38,70,2,33,6,186
38,70,4,33,6,198
38,70,1,33,6,260
38,70,4,33,6,269
38,70,1,33,6,271
38,70,3,33,6,286
38,70,3,33,6,290
38,70,1,33,6,314
38,70,2,33,6,355
38,70,1,33,6,361
38,70,1,33,6,420
38,70,2,33,6,472
38,70,1,33,6,525
38,70,3,33,6,538
38,71,2,34,7,16
38,71,1,34,7,94
38,71,1,34,7,124
38,71,1,34,7,169
38,71,2,34,7,170
38,71,4,34,7,175
38,71,4,34,7,191
38,71,4,34,7,192
38,71,2,34,7,193
38,71,4,34,7,278
38,71,4,34,7,290
38,71,3,34,7,295
38,71,4,34,7,434
38,71,3,34,7,519
39,39,3,1,3,79
39,39,1,1,3,85
39,39,1,1,3,95
39,39,1,1,3,99
39,39,2,1,3,154
39,39,4,1,3,161
39,39,1,1,3,166
39,39,2,1,3,169
39,39,4,1,3,172
39,39,1,1,3,174
39,39,4,1,3,187
39,39,1,1,3,189
39,39,3,1,3,191
39,39,4,1,3,194
39,39,1,1,3,199
39,39,1,1,3,200
39,39,1,1,3,204
39,39,2,1,3,209
39,39,1,1,3,211
39,39,2,1,3,214
39,39,1,1,3,220
39,39,2,1,3,223
39,39,1,1,3,238
39,39,1,1,3,244
39,39,4,1,3,272
39,39,3,1,3,285
39,39,1,1,3,290
39,39,3,1,3,301
39,39,2,1,3,321
39,39,1,1,3,324
39,39,3,1,3,326
39,39,1,1,3,327
39,39,2,1,3,351
39,39,1,1,3,370
39,39,1,1,3,382
39,39,2,1,3,384
39,39,1,1,3,428
39,39,1,1,3,479
39,39,1,1,3,482
39,39,2,1,3,492
39,39,2,1,3,505
39,39,3,1,3,506
39,39,1,1,3,525
39,39,3,1,3,530
39,39,1,1,3,538
39,39,2,1,3,547
39,40,4,2,4,36
39,40,2,2,4,79
39,40,3,2,4,85
39,40,2,2,4,95
39,40,1,2,4,154
39,40,1,2,4,163
39,40,2,2,4,169
39,40,3,2,4,171
39,40,3,2,4,172
39,40,3,2,4,189
39,40,4,2,4,191
39,40,4,2,4,199
39,40,1,2,4,224
39,40,3,2,4,269
39,40,2,2,4,272
39,40,2,2,4,285
39,40,1,2,4,292
