Hotel Name,Snapshot Date,Discount Code,Count
Hilton Garden Inn Times Square,2015-08-19,3,15
Hilton Garden Inn Times Square,2015-08-20,3,15
Hilton Garden Inn Times Square,2015-08-28,2,15
Hilton Garden Inn Times Square,2015-08-21,3,15
Viceroy New York,2015-12-28,1,15
Hilton Garden Inn Times Square,2015-08-22,3,15
Omni Berkshire Place,2015-08-03,3,15
The Roosevelt Hotel New York City,2015-10-10,2,15
The Lexington New York City Autograph Collection,2015-08-17,2,15
Newark Liberty International Airport Marriott,2015-10-18,3,15
The Plaza Hotel,2015-10-04,2,15
Quality Inn Woodside,2015-10-31,3,15
The Lexington New York City Autograph Collection,2015-08-24,2,15
Hilton Garden Inn Times Square,2015-09-18,1,15
The Plaza Hotel,2015-10-25,2,15
Newark Liberty International Airport Marriott,2015-10-10,3,15
Park Hyatt New York,2015-08-02,3,15
Newark Liberty International Airport Marriott,2015-10-11,3,15
The Plaza Hotel,2015-09-24,2,15
Newark Liberty International Airport Marriott,2016-01-01,3,15
Newark Liberty International Airport Marriott,2015-10-19,3,15
Newark Liberty International Airport Marriott,2015-10-09,3,15
Quality Inn Woodside,2015-10-30,2,15
Newark Liberty International Airport Marriott,2015-07-21,3,15
Newark Liberty International Airport Marriott,2015-12-27,1,15
The Plaza Hotel,2015-09-25,2,15
Newark Liberty International Airport Marriott,2015-10-12,3,15
Homewood Suites by Hilton NY Midtown Manhattan Times Square,2015-08-10,2,15
Quality Inn Woodside,2015-10-30,3,15
The Plaza Hotel,2015-09-25,3,15
Hilton Garden Inn Times Square,2015-09-21,2,15
Viceroy New York,2015-12-27,1,15
Newark Liberty International Airport Marriott,2015-10-21,3,15
Newark Liberty International Airport Marriott,2015-12-29,4,15
Quality Inn Woodside,2015-10-23,2,15
Omni Berkshire Place,2015-08-13,2,15
Newark Liberty International Airport Marriott,2015-09-01,3,15
Newark Liberty International Airport Marriott,2015-10-17,3,15
Park Hyatt New York,2015-07-19,4,15
Hilton Garden Inn Times Square,2015-09-30,3,15
Quality Inn Woodside,2015-10-31,2,15
